"","mo","temp","NUM_COLLISIONS"
"929",1,35.8,0.388297872340426
"943",1,29.2,0.311170212765957
"1293",1,28.9,0.450819672131148
"1300",1,30.9,0.639344262295082
"1650",1,36.4,0.246786632390745
"1657",1,47.8,0.488431876606684
"1664",1,40.7,0.395886889460154
"1671",1,44.3,0.275064267352185
"2028",1,32.4,0.476315789473684
"2035",1,28,0.392105263157895
"2378",1,39.4,0.270341207349081
"2385",1,34.9,0.469816272965879
"2392",1,29.4,0.485564304461942
"2399",1,46.5,0.501312335958005
"222",2,29.4,0.376119402985075
"229",2,36.6,0.68955223880597
"236",2,30.6,0.292537313432836
"586",2,30.4,0.503048780487805
"600",2,39.6,0.463414634146341
"607",2,24.7,0.509146341463415
"950",2,34.1,0.444148936170213
"964",2,27,0.300531914893617
"971",2,28,0.36436170212766
"1314",2,51.6,0.483606557377049
"1321",2,31.5,0.519125683060109
"1328",2,36,0.437158469945355
"1335",2,51,0.631147540983607
"1678",2,37.7,0.334190231362468
"1692",2,36.1,0.503856041131105
"2042",2,38.3,0.371052631578947
"2049",2,34.6,0.428947368421053
"2063",2,43.1,0.255263157894737
"2413",2,39.1,0.490813648293963
"2420",2,35.5,0.690288713910761
"2427",2,36.8,0.514435695538058
"2434",2,26,0.782152230971129
"257",3,37,0.46865671641791
"264",3,38.3,0.322388059701493
"271",3,42.5,0.444776119402985
"614",3,26.3,0.469512195121951
"621",3,32.2,0.429878048780488
"628",3,41.7,0.679878048780488
"635",3,28.4,0.408536585365854
"985",3,38.1,0.48936170212766
"992",3,27.6,0.478723404255319
"999",3,42.6,0.327127659574468
"1342",3,29.9,0.527322404371585
"1363",3,45.1,0.554644808743169
"1706",3,47.8,0.506426735218509
"1713",3,45.9,0.537275064267352
"1727",3,26.4,0.634961439588689
"1734",3,40,0.470437017994859
"2077",3,39.6,0.473684210526316
"2084",3,36.5,0.621052631578947
"2091",3,36.1,0.807894736842105
"2441",3,22.1,0.406824146981627
"2455",3,40.7,0.585301837270341
"278",4,39,0.495522388059702
"285",4,46.2,0.349253731343284
"292",4,46.5,0.456716417910448
"299",4,50.8,0.546268656716418
"642",4,40.9,0.573170731707317
"656",4,37.5,0.317073170731707
"663",4,49.6,0.554878048780488
"1020",4,46.4,0.420212765957447
"1027",4,46.9,0.558510638297872
"1034",4,48.1,0.632978723404255
