"","day","mo","NUM_COLLISIONS"
"215",4,1,0.573134328358209
"551",4,1,0.606707317073171
"558",4,1,0.478658536585366
"579",4,1,0.771341463414634
"929",4,1,0.388297872340426
"943",4,1,0.311170212765957
"1293",4,1,0.450819672131148
"1300",4,1,0.639344262295082
"1650",4,1,0.246786632390745
"1657",4,1,0.488431876606684
"1664",4,1,0.395886889460154
"1671",4,1,0.275064267352185
"2028",4,1,0.476315789473684
"2035",4,1,0.392105263157895
"2378",4,1,0.270341207349081
"2385",4,1,0.469816272965879
"2392",4,1,0.485564304461942
"2399",4,1,0.501312335958005
"222",4,2,0.376119402985075
"229",4,2,0.68955223880597
"236",4,2,0.292537313432836
"586",4,2,0.503048780487805
"600",4,2,0.463414634146341
"607",4,2,0.509146341463415
"950",4,2,0.444148936170213
"964",4,2,0.300531914893617
"971",4,2,0.36436170212766
"1314",4,2,0.483606557377049
"1321",4,2,0.519125683060109
"1328",4,2,0.437158469945355
"1335",4,2,0.631147540983607
"1678",4,2,0.334190231362468
"1692",4,2,0.503856041131105
"2042",4,2,0.371052631578947
"2049",4,2,0.428947368421053
"2063",4,2,0.255263157894737
"2413",4,2,0.490813648293963
"2420",4,2,0.690288713910761
"2427",4,2,0.514435695538058
"2434",4,2,0.782152230971129
"257",4,3,0.46865671641791
"264",4,3,0.322388059701493
"271",4,3,0.444776119402985
"614",4,3,0.469512195121951
"621",4,3,0.429878048780488
"628",4,3,0.679878048780488
"635",4,3,0.408536585365854
"985",4,3,0.48936170212766
"992",4,3,0.478723404255319
"999",4,3,0.327127659574468
"1342",4,3,0.527322404371585
"1363",4,3,0.554644808743169
"1706",4,3,0.506426735218509
"1713",4,3,0.537275064267352
"1727",4,3,0.634961439588689
"1734",4,3,0.470437017994859
"2077",4,3,0.473684210526316
"2084",4,3,0.621052631578947
"2091",4,3,0.807894736842105
"2441",4,3,0.406824146981627
"2455",4,3,0.585301837270341
"278",4,4,0.495522388059702
"285",4,4,0.349253731343284
"292",4,4,0.456716417910448
"299",4,4,0.546268656716418
"642",4,4,0.573170731707317
"656",4,4,0.317073170731707
"663",4,4,0.554878048780488
"1020",4,4,0.420212765957447
"1027",4,4,0.558510638297872
"1034",4,4,0.632978723404255
"1384",4,4,0.66120218579235
"1391",4,4,0.715846994535519
"1741",4,4,0.660668380462725
"1748",4,4,0.344473007712082
"1755",4,4,0.452442159383033
"2105",4,4,0.205263157894737
"2126",4,4,0.726315789473684
"2469",4,4,0.679790026246719
"2476",4,4,0.356955380577428
"2483",4,4,0.364829396325459
"306",4,5,0.552238805970149
"320",4,5,0.474626865671642
"334",4,5,0.850746268656716
"670",4,5,0.75
"684",4,5,0.777439024390244
"698",4,5,0.789634146341463
"1055",4,5,0.566489361702128
"1062",4,5,0.74468085106383
"1405",4,5,0.530054644808743
"1419",4,5,0.715846994535519
"1426",4,5,0.846994535519126
"1769",4,5,0.629820051413882
"1776",4,5,0.591259640102828
"1790",4,5,0.735218508997429
"2140",4,5,0.552631578947368
"2504",4,5,0.503937007874016
"348",4,6,0.402985074626866
"705",4,6,0.503048780487805
"712",4,6,0.484756097560976
"726",4,6,0.810975609756098
"1069",4,6,0.398936170212766
"1076",4,6,0.702127659574468
"1433",4,6,0.685792349726776
"1440",4,6,0.693989071038251
"1447",4,6,0.702185792349727
"2189",4,6,0.747368421052632
"2532",4,6,0.900262467191601
"2539",4,6,0.611548556430446
"26",4,7,0.638095238095238
"376",4,7,0.447761194029851
"390",4,7,0.319402985074627
"740",4,7,0.548780487804878
"754",4,7,0.411585365853659
"1104",4,7,0.438829787234043
"1111",4,7,0.75531914893617
"1475",4,7,0.844262295081967
"2217",4,7,0.402631578947368
"411",4,8,0.594029850746269
"425",4,8,0.513432835820895
"768",4,8,0.551829268292683
"775",4,8,0.673780487804878
"789",4,8,0.652439024390244
"1146",4,8,0.526595744680851
"1888",4,8,0.416452442159383
"2224",4,8,0.707894736842105
