"","temp","visib","wdsp","NUM_COLLISIONS"
"1606",37.7,10,15.1,0.909836065573771
"1613",43.8,8.5,9.7,0.87431693989071
"1956",53,9.8,12.5,0.652956298200514
"1963",46.1,10,12.3,0.491002570694087
"1970",51.1,10,15.3,0.858611825192802
"1977",37.9,10,10,0.496143958868895
"2320",56.8,2.1,12.1,0.594736842105263
"2327",51.9,5.8,16.9,0.792105263157895
"2334",48.2,9.2,7,0.636842105263158
"2341",46.9,7.2,19.3,0.410526315789474
"2691",53.9,8.4,13.1,0.509186351706037
"2698",46.5,8.4,7.5,0.601049868766404
"164",50.1,7.3,6,0.555555555555556
"171",47.3,5.3,7,0.768253968253968
"521",41.8,10,11.7,0.456716417910448
"528",38.8,6.7,9.1,0.414925373134328
"535",28.6,9,9.6,0.904477611940299
"542",38.4,8.8,13.4,0.343283582089552
"549",28.5,9.4,10.1,0.194029850746269
"885",42.5,9.9,14.9,0.63109756097561
"892",48.7,5.8,19.6,0.734756097560976
"913",32.1,10,11.9,0.198170731707317
"1249",40.1,9.3,7.9,0.914893617021277
"1256",47.4,7.8,11.3,0.574468085106383
"1263",58,5.9,15,0.938829787234043
"1270",54.8,4.4,11.3,0.789893617021277
"1277",42.8,6.1,15.6,0.348404255319149
"1620",41.7,10,11.9,0.762295081967213
"1627",39.7,9.8,9.7,0.540983606557377
"1641",49.8,4.4,17.5,0.37431693989071
"1984",42,10,10.2,0.637532133676093
"1991",42.6,9.7,10,0.593830334190231
"1998",44.9,9.3,10.3,0.516709511568123
"2005",29.5,10,13.1,0.223650385604113
"2348",40.6,10,12.1,0.607894736842105
"2362",33.3,9.6,19.7,0.731578947368421
"2712",39.9,5.2,18.6,0.574803149606299
"2719",53.1,1.8,16,0.698162729658793
"2726",37.5,7.3,7.3,0.784776902887139
"2733",42.8,10,12,0.338582677165354
"2740",44.7,4.8,14.7,0.110236220472441
"186",27.5,10,12.4,0.238805970149254
"200",41.6,7,8.8,0.53134328358209
"214",45.1,4.4,12.4,0.28955223880597
"564",41.1,6.5,6,0.545731707317073
"571",25,1.9,25.7,0.286585365853659
"921",22.6,9.4,12.1,0.361702127659574
"928",32.1,8,9.6,0.276595744680851
"942",21.6,6.6,16.6,0.148936170212766
"1292",32.9,9.6,18,0.472677595628415
"1299",29.4,10,18.9,0.521857923497268
"1649",46.5,6.2,13.6,0.344473007712082
"1656",45,6.5,15.1,0.444730077120823
"1663",41.6,4.5,13.8,0.239074550128535
"1670",41.1,8.5,17.4,0.308483290488432
"2034",41.1,8.8,13.9,0.426315789473684
"2041",25,10,13.1,0.376315789473684
"2377",35,10,10.3,0.26509186351706
"2384",44.4,5.6,13.4,0.296587926509186
"2391",31.3,9.8,9.1,0.467191601049869
"2405",36.8,8.8,15.1,0.601049868766404
"221",34.8,9,6.1,0.495522388059702
"235",38.7,8.5,16.9,0.328358208955224
"242",44.1,5.9,18,0.447761194029851
"585",32.3,6.3,9.2,0.195121951219512
"592",23.7,10,10.5,0.719512195121951
"599",35,8.9,12.3,0.451219512195122
"606",25.8,8.9,8,0.326219512195122
"956",32.6,9.9,23.9,0.553191489361702
